"NUTS_ID","pop_95","pop_21","pop_50","k_95","k_19","CNTR_CODE","ISO","emi_hist","pop_2000","eu_nhbc","eu_nhb","eu_pcc_nhb","eu_epc_s"
"ES41",2520690,2454454,1960295,215.84396468559837,392.15948135781423,"ES","ESP",395319420.82842153,2472869,-2.7841535419937578,-2.6259959377428213,-2.5229980094158053,0.1185923122559226
"ES42",1698263,2048900,1817449,163.17872888412583,296.4738244177363,"ES","ESP",294280116.45670307,1742456,-2.2125539570155195,-2.0855507497890486,-2.0028416869073267,0.11839961931793147
"ES43",1065076,1084969,896045,67.45910997640105,122.56413849578585,"ES","ESP",148244809.37743658,1060030,-1.2022862803355345,-1.1325013286091488,-1.0870548545666212,0.07851194793922447
"ES51",6161209,7408290,8755298,256.3143078431912,465.68865696470255,"ES","ESP",1325243987.2679188,6283101,-9.428765683938439,-8.892255607250618,-8.542860921569,0.41807290624287097
"ES52",3969401,4932347,5141574,197.45215747130078,358.7440389158737,"ES","ESP",744973141.8238457,4103816,-5.726900969326006,-5.397062341031278,-5.182259546328599,0.3267928469689586
"ES53",756141,1135527,1577043,46.20748389277101,83.95278943580158,"ES","ESP",183451349.65250784,817313,-1.4736628805178107,-1.388241811348284,-1.3326125344531905,0.09411285541206857
"ES61",7115498,8403774,8425577,330.38656218514365,600.2679901791204,"ES","ESP",1147926284.8169603,7285992,-9.614189234765018,-9.053663138265254,-8.688628355485514,0.6734274152185573
"ES62",1100679,1466474,1635530,70.86963288237162,128.76060035151824,"ES","ESP",208182498.58926767,1169114,-1.7194799116607518,-1.6194214036026777,-1.5542596992996573,0.11694408340151974
"ES63",69318,84652,83788,0.30053925720406494,0.5460394475448249,"ES","ESP",12071015.37391031,70855,-0.09540122264785078,-0.08988417739660864,-0.0862912788189168,0.005855876601970171
"ES64",60450,84764,90478,0.26126424063762466,0.4746820197406717,"ES","ESP",11338669.102077998,64851,-0.09503853114338538,-0.08949701214911995,-0.08588817538848871,0.00666774698996328
"ES70",1568049,2135209,2652164,56.8138728774798,103.22317306399927,"ES","ESP",304946249.2307417,1659062,-2.6280734272135877,-2.474266084299058,-2.374101202839774,0.1948298983194695
"FI19",1313881,1379116,1259865,72.11943305897951,118.00253151726311,"FI","FIN",384643895.03662086,1317215,-3.1773375119248337,-4.712818815812151,-1.1543891887764453,0.09182738596595963
"FI1B",1293573,1620261,1898949,27.413909025458334,44.854909787525784,"FI","FIN",532183684.60449034,1379712,-4.085156679870576,-6.038655472024678,-1.511483463625051,0.07400153535111886
"FI1C",1128490,1160491,1000867,54.48913668261538,89.15566576182623,"FI","FIN",330343149.06302553,1133237,-2.6429987975394416,-3.9145451960024844,-0.9677764108753613,0.06422716566245096
"FI1D",1337652,1298457,1097178,99.72133970216123,163.16504487111797,"FI","FIN",349605597.43783695,1315432,-2.9640686901787183,-4.401555127763729,-1.0702255212002492,0.09645714693161822
"FI20",25158,28983,33850,0.998785697452208,1.6342230622668665,"FI","FIN",9385673.858026162,25706,-0.0739244778716363,-0.10940926085637602,-0.0271743923743194,0.0016255185036349751
